MinTillMidnight   Distance    Angle
             12      82.75    174.7
             32      76.84   -7.402
             48        121    174.3
             55      121.1   -5.974
             42        217   -179.7
             54      64.01      179
             61      36.36   -21.63
             50        306   -179.3
             52      10.52    122.2
             57      272.5   -177.5
             91      42.68    10.26
            101      19.72    157.3
             55      37.18   -11.79
             62      291.4    1.495
             94      64.01  -0.9847
            134      10.52    57.82
            140      19.72   -157.3
            160      42.68   -169.7
            142        2.2       90
            137         13      180
            182        2.2        0
            197        2.2      -90
The shortest time between rabbits is 5 minutes.
